CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
1,DE901AEO,CONSTITUCION POLITICA Y DERECHOS HUMANOS,,3,EG,,,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,POZO-ROLDAN-CLORINDA,LU,[07-09],T,,EC-201,2,
,,POZO-ROLDAN-CLORINDA,MI,[07-09],P,,EC-201,2,
2,DE901BEO,CONSTITUCION POLITICA Y DERECHOS HUMANOS,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MENDOZA-GAMBOA-YOVAN,LU,[18-20],T,,EC-201,2,
,,MENDOZA-GAMBOA-YOVAN,MI,[18-20],P,,EC-201,2,
3,ED901AEO,ESTRATEGIAS DE APRENDIZAJE AUTONOMO,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,VASQUEZ-MAITA-ISABEL,MA,[11-13],T,,EC-201,2,
,,VASQUEZ-MAITA-ISABEL,JU,[11-13],P,,EC-201,2,
,,VASQUEZ-MAITA-ISABEL,VI,[12-13],T,,EC-201,1,
4,ED901BEO,ESTRATEGIAS DE APRENDIZAJE AUTONOMO,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,VASQUEZ-MAITA-ISABEL,MA,[16-18],T,,EC-201,2,
,,VASQUEZ-MAITA-ISABEL,JU,[16-18],P,,EC-201,2,
,,VASQUEZ-MAITA-ISABEL,VI,[17-18],T,,EC-201,1,
5,FP901AEO,FILOSOFIA Y ETICA,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MORIANO-ALENDEZ-JOSE,LU,[11-13],T,,EC-201,2,
,,MORIANO-ALENDEZ-JOSE,MI,[11-13],P,,EC-201,2,
6,FP901BEO,FILOSOFIA Y ETICA,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MEDINA-SALAS-HECTOR,LU,[16-18],T,,EC-201,2,
,,MEDINA-SALAS-HECTOR,MI,[16-18],P,,EC-201,2,
7,ME901AEO,MATEMATICA I,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,LOPEZ-MAMANI-MARIO,MA,[09-11],T,,EC-303,2,
,,LOPEZ-MAMANI-MARIO,JU,[09-11],P,,EC-303,2,
,,LOPEZ-MAMANI-MARIO,VI,[10-11],T,,EC-303,1,
8,ME901BEO,MATEMATICA I,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,JIMENEZ-COA-SORIANA ALIDA,MA,[14-16],T,,EC-201,2,
,,JIMENEZ-COA-SORIANA ALIDA,JU,[14-16],P,,EC-201,2,
,,JIMENEZ-COA-SORIANA ALIDA,VI,[18-19],T,,EC-202,1,
9,LC901AEO,REDACCION DE TEXTOS,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,LLERENA-CERVANTES-CARLA,MA,[07-09],T,,EC-303,2,
,,LLERENA-CERVANTES-CARLA,JU,[07-09],P,,EC-303,2,
,,LLERENA-CERVANTES-CARLA,VI,[08-09],T,,EC-303,1,
10,LC901BEO,REDACCION DE TEXTOS,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,CASTAÑEDA-CHÁVEZ-ALEXANDER,MA,[18-20],T,,EC-303,2,
,,CASTAÑEDA-CHÁVEZ-ALEXANDER,JU,[18-20],P,,EC-303,2,
,,CASTAÑEDA-CHÁVEZ-ALEXANDER,VI,[19-20],T,,EC-303,1,
11,AS901AEO,SOCIEDAD Y CULTURA,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
