CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
1,CB399AIC,ECOLOGÍA GENERAL,,4,EEEP,,,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PACO-GOMEZ-AMALIA,MA,[13-15],T,,P1 A-203,2,
,,PACO-GOMEZ-AMALIA,MI,[14-16],P,,P1 A-203,2,
,,PACO-GOMEZ-AMALIA,VI,[10-11],T,,P1 A-203,1,
2,GA522AIC,FORMULACION DE ALIMENTOS Y NUTRICION ANIMAL,,3,EEEP,GA204,0,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PORCEL-HUILLCA-IVAN,LU,[15-17],T,,P1 A-101,2,
,,PORCEL-HUILLCA-IVAN,MA,[13-15],P,,P1 A-202,2,
3,AG667AIC,GESTION AMBIENTAL,,3,EEP,150 Creds.,0,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PACHECO-BAEZ-SERGIO WERFEL,MA,[13-15],T,,P2 A-206,2,
,,PACHECO-BAEZ-SERGIO WERFEL,MI,[15-17],P,,P2 A-206,2,
4,GA905AIC,IMPACTO AMBIENTAL,,3,EEEP,160 Creds.,0,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PORCEL-HUILLCA-IVAN,LU,[13-15],T,,P1 A-101,2,
,,PORCEL-HUILLCA-IVAN,MI,[17-19],P,,P1 A-101,2,
5,VA317AIC,PRIMEROS AUXILIOS VETERINARIOS,,3,EEEP,VA316,0,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,CHOQUEPUMA-USCCA-WILBER ALAN,JU,[17-19],T,,P2 A-107,2,
,,CHOQUEPUMA-USCCA-WILBER ALAN,VI,[14-16],L,,P1 A-202,2,
6,DE901AIC,CONSTITUCION POLITICA Y DERECHOS HUMANOS,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,HUAÑAHUI-SILLOCCA-ANTONIO ELISEO,MA,[07-09],T,,P2 A-106,2,
,,HUAÑAHUI-SILLOCCA-ANTONIO ELISEO,JU,[07-09],P,,P2 A-106,2,
7,ED901AIC,ESTRATEGIAS DE APRENDIZAJE AUTONOMO,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,QUISPE-PFOCCOALATA-EDGAR,LU,[17-18],T,,P2 A-206,1,
,,QUISPE-PFOCCOALATA-EDGAR,MI,[17-19],T,,P2 A-206,2,
,,QUISPE-PFOCCOALATA-EDGAR,JU,[17-19],P,,P2 A-206,2,
8,FP901AIC,FILOSOFIA Y ETICA,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,,LU,[07-09],T,,P2 A-106,2,
,,,JU,[09-11],P,,P2 A-106,2,
9,ME901AIC,MATEMATICA I,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MALPARTIDA-AYMA-EDISON,LU,[09-11],T,,P2 A-106,2,
,,MALPARTIDA-AYMA-EDISON,MI,[09-11],P,,P2 A-106,2,
,,MALPARTIDA-AYMA-EDISON,JU,[09-10],T,,P1 A-102,1,
10,LC901AIC,REDACCION DE TEXTOS,,4,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,QUISPE-PFOCCOALATA-EDGAR,LU,[16-17],T,,P2 A-107,1,
,,QUISPE-PFOCCOALATA-EDGAR,MI,[15-17],T,,P2 A-107,2,
,,QUISPE-PFOCCOALATA-EDGAR,JU,[15-17],P,,P2 A-107,2,
11,AS901AIC,SOCIEDAD Y CULTURA,,3,EG,,1,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
